codec,binary,orig_bytes,packed_bytes,comp_time_s,decomp_time_s,ratio_pct,comp_mib_s,decomp_mib_s,source_file
apultra,/usr/bin/lshw[0m,903656.0,278268.0,10.129320566,0.005897933,30.0,0.085079,146.1178,speed_apultra_1.txt
apultra,/usr/bin/strace[0m,2034104.0,549596.0,5.976931048,0.011871138,27.0,0.324559,163.410786,speed_apultra_1.txt
apultra,/usr/bin/w3m[0m,1630888.0,895376.0,3.117858528,0.013475425,54.0,0.498847,115.420107,speed_apultra_1.txt
apultra,/usr/bin/htop[0m,317320.0,125230.0,3.461641195,0.002567765,39.0,0.08742,117.853074,speed_apultra_1.txt
apultra,/usr/bin/lshw[0m,903656.0,278268.0,10.07982485,0.005320066,30.0,0.085496,161.989155,speed_apultra_1.txt
apultra,/usr/bin/nasm[0m,1923760.0,371094.0,6.07103567,0.007836185,19.0,0.302195,234.12413,speed_apultra_1.txt
apultra,/usr/bin/bash[0m,1265648.0,540629.0,3.020975827,0.009433081,42.0,0.399544,127.955542,speed_apultra_1.txt
apultra,/usr/bin/ls[0m,151344.0,66100.0,2.657449717,0.001346891,43.0,0.054312,107.159376,speed_apultra_2.txt
apultra,/usr/bin/putty[0m,1354680.0,484286.0,3.325003546,0.009100599,35.0,0.388547,141.960216,speed_apultra_2.txt
apultra,/usr/bin/ls[0m,151344.0,66100.0,2.808558653,0.001278915,43.0,0.05139,112.855037,speed_apultra_2.txt
apultra,/usr/bin/lsusb[0m,253000.0,73054.0,6.364638684,0.001445006,28.0,0.037909,166.974393,speed_apultra_2.txt
apultra,/usr/bin/nano[0m,287480.0,122510.0,2.860068568,0.002566465,42.0,0.095858,106.824757,speed_apultra_2.txt
apultra,/usr/bin/strace[0m,2034104.0,549596.0,5.977471047,0.011714082,27.0,0.32453,165.601709,speed_apultra_2.txt
apultra,/usr/bin/scalar[0m,2199656.0,940090.0,5.18582882,0.018211878,42.0,0.404516,115.186088,speed_apultra_2.txt
apultra,/usr/bin/lsusb[0m,253000.0,73054.0,6.116775746,0.001958749,28.0,0.039445,123.180152,speed_apultra_2.txt
apultra,/usr/bin/nasm[0m,1923760.0,371094.0,5.968967095,0.008150173,19.0,0.307363,225.104424,speed_apultra_2.txt
apultra,/usr/bin/rsync[0m,514440.0,230092.0,4.812710156,0.004427877,44.0,0.10194,110.799825,speed_apultra_2.txt
apultra,/usr/bin/dmesg[0m,88656.0,33685.0,1.804810734,0.00074311,37.0,0.046845,113.775887,speed_apultra_2.txt
apultra,/usr/bin/cat[0m,44016.0,20379.0,0.853460869,0.000352331,46.0,0.049183,119.137969,speed_apultra_2.txt
apultra,/usr/bin/fio[0m,1795000.0,364656.0,5.422615143,0.011661077,20.0,0.315686,146.799905,speed_apultra_2.txt
apultra,/usr/bin/dmesg[0m,88656.0,33685.0,1.806081878,0.000632693,37.0,0.046812,133.631951,speed_apultra_2.txt
apultra,/usr/bin/scalar[0m,2199656.0,940090.0,5.235135092,0.017899499,42.0,0.400706,117.196296,speed_apultra_2.txt
apultra,/usr/bin/htop[0m,317320.0,125230.0,3.511955664,0.002447901,39.0,0.086168,123.623872,speed_apultra_2.txt
apultra,/usr/bin/nano[0m,287480.0,122510.0,2.708723373,0.002385494,42.0,0.101214,114.928815,speed_apultra_2.txt
apultra,/usr/bin/w3m[0m,1630888.0,895376.0,3.117817892,0.01363072,54.0,0.498853,114.105124,speed_apultra_2.txt
apultra,/usr/bin/fio[0m,1795000.0,364656.0,5.474117117,0.010107803,20.0,0.312716,169.358761,speed_apultra_2.txt
apultra,/usr/bin/bash[0m,1265648.0,540629.0,3.020513169,0.009977766,42.0,0.399605,120.970465,speed_apultra_2.txt
apultra,/usr/bin/rsync[0m,514440.0,230092.0,4.717491311,0.004386587,44.0,0.103997,111.84276,speed_apultra_2.txt
apultra,/usr/bin/grep[0m,203152.0,87797.0,3.410824768,0.001767834,43.0,0.056801,109.591737,speed_apultra_2.txt
apultra,/usr/bin/putty[0m,1354680.0,484286.0,3.171057918,0.017566486,35.0,0.40741,73.54476,speed_apultra_2.txt
apultra,/usr/bin/grep[0m,203152.0,87797.0,3.409969051,0.002291985,43.0,0.056815,84.529349,speed_apultra_2.txt
apultra,/usr/bin/wget[0m,470384.0,201617.0,4.466976417,0.004068172,42.0,0.100424,110.268936,speed_apultra_2.txt
apultra,/usr/bin/cat[0m,44016.0,20379.0,0.85381373,0.000465792,46.0,0.049162,90.117477,speed_apultra_2.txt
apultra,/usr/bin/wget[0m,470384.0,201617.0,4.464475805,0.003724705,42.0,0.10048,120.437188,speed_apultra_2.txt
apultra,/usr/bin/scalar[0m,2199656.0,940090.0,5.187857707,0.019305499,42.0,0.404358,108.661008,speed_apultra_2.txt
apultra,/usr/bin/lshw[0m,903656.0,278268.0,10.082235413,0.006079929,30.0,0.085476,141.743924,speed_apultra_2.txt
apultra,/usr/bin/strace[0m,2034104.0,549596.0,5.977096007,0.011840803,27.0,0.32455,163.829429,speed_apultra_2.txt
apultra,/usr/bin/w3m[0m,1630888.0,895376.0,3.11744884,0.012376223,54.0,0.498912,125.671216,speed_apultra_2.txt
apultra,/usr/bin/htop[0m,317320.0,125230.0,3.461444289,0.002499939,39.0,0.087425,121.050553,speed_apultra_2.txt
apultra,/usr/bin/lshw[0m,903656.0,278268.0,10.030796904,0.005790792,30.0,0.085914,148.821266,speed_apultra_2.txt
apultra,/usr/bin/nasm[0m,1923760.0,371094.0,5.972975953,0.007947038,19.0,0.307156,230.858339,speed_apultra_2.txt
apultra,/usr/bin/bash[0m,1265648.0,540629.0,2.920962971,0.010182261,42.0,0.413225,118.54096,speed_apultra_2.txt
blz,/usr/bin/ls[0m,151344.0,74567.0,0.253765599,0.0008486,49.0,0.568761,170.082488,speed_blz_1.txt
blz,/usr/bin/putty[0m,1354680.0,549991.0,0.465374077,0.014579115,40.0,2.776095,88.614638,speed_blz_1.txt
blz,/usr/bin/ls[0m,151344.0,74567.0,0.253606946,0.00074963,49.0,0.569116,192.537651,speed_blz_1.txt
